id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15
0,4,63,6,0,1531,4,557,189,15,0,0,0,0,0,0,0
1,4,13,6,0,19,4,145,39,0,0,0,0,0,0,0,0
2,6,61,15,0,703,20,440,305,5,0,0,0,0,0,0,0
3,2,6,1,0,10,0,116,6,0,0,0,0,0,0,0,0
4,6,25,15,0,74,20,170,125,4,0,0,0,0,0,0,0
5,4,19,6,0,36,4,202,57,1,0,0,0,0,0,0,0
6,4,22,6,0,58,4,101,64,1,0,0,1,0,0,0,0
7,2,11,1,0,31,0,66,11,0,0,0,0,0,0,0,0
8,4,18,6,0,48,4,217,54,1,0,0,0,0,0,0,0
9,2,12,1,0,31,0,46,12,0,0,0,0,0,0,0,0
10,2,57,1,0,1501,0,366,57,39,0,0,0,0,0,0,0
11,2,41,1,0,636,0,303,41,4,0,0,0,0,0,0,0
12,4,12,5,1,15,2,58,32,0,4,2,0,0,0,0,0
13,2,56,1,0,824,0,468,52,13,0,0,2,0,0,0,0
14,6,26,15,0,50,20,296,130,0,0,0,0,0,0,0,0
15,6,58,15,0,667,20,370,290,4,0,0,0,0,0,0,0
16,6,26,15,0,73,20,303,130,4,0,0,0,0,0,0,0
17,5,19,10,0,31,10,79,76,1,0,0,0,0,0,0,0
18,6,42,15,0,175,20,427,202,10,0,0,4,0,0,0,0
19,2,6,1,0,10,0,44,6,0,0,0,0,0,0,0,0
20,4,16,5,1,26,2,84,38,1,10,2,0,0,0,0,0
21,4,16,6,0,25,4,70,48,1,0,0,0,0,0,0,0
22,6,31,15,0,88,20,209,153,3,0,0,1,0,0,0,0
23,2,11,1,0,25,0,54,11,2,0,0,0,0,0,0,0
24,8,41,27,1,177,50,265,282,3,5,6,0,0,0,0,0
25,4,12,6,0,12,4,54,36,0,0,0,0,0,0,0,0
26,6,18,13,2,23,13,54,77,0,11,6,0,1,1,0,0
27,6,14,15,0,14,20,46,70,2,0,0,0,0,0,0,0
28,2,10,1,0,20,0,29,10,0,0,0,0,0,0,0,0
29,2,14,1,0,41,0,90,12,1,0,0,1,0,0,0,0
30,6,20,15,0,37,20,133,96,0,0,0,2,0,0,0,0
31,2,8,1,0,12,0,60,8,1,0,0,0,0,0,0,0
32,6,51,15,0,482,20,253,253,5,0,0,1,0,0,0,0
33,10,57,45,0,202,120,438,511,7,0,0,1,0,0,0,0
34,2,8,1,0,13,0,35,8,0,0,0,0,0,0,0,0
35,4,17,6,0,67,4,123,51,2,0,0,0,0,0,0,0
36,7,98,18,3,1691,21,705,440,36,136,13,1,5,1,0,0
37,4,23,6,0,67,4,195,69,1,0,0,0,0,0,0,0
38,6,58,15,0,471,20,365,290,10,0,0,0,0,0,0,0
39,8,35,28,0,88,56,185,245,0,0,0,0,0,0,0,0
40,4,18,6,0,47,4,135,54,2,0,0,0,0,0,0,0
41,6,23,15,0,45,20,102,115,0,0,0,0,0,0,0,0
42,4,16,6,0,33,4,88,48,1,0,0,0,0,0,0,0
43,8,44,27,1,209,50,216,276,4,28,6,2,0,0,0,0
44,4,16,6,0,33,4,70,48,1,0,0,0,0,0,0,0
45,6,38,15,0,144,20,266,190,4,0,0,0,0,0,0,0
46,2,7,1,0,8,0,156,7,1,0,0,0,0,0,0,0
47,2,6,1,0,6,0,30,6,0,0,0,0,0,0,0,0
48,9,39,36,0,87,84,232,308,3,0,0,2,0,0,0,0
49,3,12,3,0,31,1,59,24,0,0,0,0,0,0,0,0
50,2,3,1,0,1,0,14,3,0,0,0,0,0,0,0,0
51,5,19,8,2,31,5,76,65,1,11,4,0,0,1,0,0
52,5,29,10,0,136,10,176,116,3,0,0,0,0,0,0,0
53,4,17,6,0,45,4,76,51,0,0,0,0,0,0,0,0
54,2,10,1,0,22,0,84,10,2,0,0,0,0,0,0,0
55,11,103,54,1,752,156,1109,987,12,33,9,5,0,0,0,0
56,4,20,6,0,46,4,139,60,1,0,0,0,0,0,0,0
57,2,2,1,0,0,0,25,2,0,0,0,0,0,0,0,0
58,2,11,1,0,42,0,172,11,3,0,0,0,0,0,0,0
